 ,Label,Area,Mean,X,Y
1,TurfBlog_demo.image_01.jpg,0,113,2139.667,91.667
2,TurfBlog_demo.image_01.jpg,0,108,2137.667,93.333
3,TurfBlog_demo.image_01.jpg,0,109,2137.333,100
4,TurfBlog_demo.image_01.jpg,0,106,2137.667,106.667
5,TurfBlog_demo.image_01.jpg,0,138,2136.333,113
6,TurfBlog_demo.image_01.jpg,0,74,2135.333,118.667
7,TurfBlog_demo.image_01.jpg,0,65,2131.667,128.333
8,TurfBlog_demo.image_01.jpg,0,54,2129.667,136
9,TurfBlog_demo.image_01.jpg,0,54,1937,184.667
10,TurfBlog_demo.image_01.jpg,0,93,1940.333,188.333
11,TurfBlog_demo.image_01.jpg,0,71,1946.667,197.333
12,TurfBlog_demo.image_01.jpg,0,104,1961.333,209.333
13,TurfBlog_demo.image_01.jpg,0,153,1970.333,211.333
14,TurfBlog_demo.image_01.jpg,0,131,2003,286
15,TurfBlog_demo.image_01.jpg,0,145,1998.667,292
16,TurfBlog_demo.image_01.jpg,0,99,1995.333,302
17,TurfBlog_demo.image_01.jpg,0,112,1993,317.667
18,TurfBlog_demo.image_01.jpg,0,141,1994,329
19,TurfBlog_demo.image_01.jpg,0,134,1995,335.667
20,TurfBlog_demo.image_01.jpg,0,117,1997.333,343
21,TurfBlog_demo.image_01.jpg,0,129,2004.333,339.333
22,TurfBlog_demo.image_01.jpg,0,155,2008,336.333
23,TurfBlog_demo.image_01.jpg,0,153,2013.667,335
24,TurfBlog_demo.image_01.jpg,0,153,2019.333,335.333
25,TurfBlog_demo.image_01.jpg,0,135,2025.333,334
26,TurfBlog_demo.image_01.jpg,0,98,2703.333,325
27,TurfBlog_demo.image_01.jpg,0,108,2707.667,322
28,TurfBlog_demo.image_01.jpg,0,144,2715.333,313.667
29,TurfBlog_demo.image_01.jpg,0,119,2720.667,310
30,TurfBlog_demo.image_01.jpg,0,111,2728.667,305.333
31,TurfBlog_demo.image_01.jpg,0,138,2732,302.333
32,TurfBlog_demo.image_01.jpg,0,67,2563.333,211.667
33,TurfBlog_demo.image_01.jpg,0,114,2566.667,212
34,TurfBlog_demo.image_01.jpg,0,132,2569.667,207.333
35,TurfBlog_demo.image_01.jpg,0,131,2573.667,203
36,TurfBlog_demo.image_01.jpg,0,113,2578.333,199.667
37,TurfBlog_demo.image_01.jpg,0,163,2582,199.333
38,TurfBlog_demo.image_01.jpg,0,118,2600.333,174
39,TurfBlog_demo.image_01.jpg,0,104,2606.333,168
40,TurfBlog_demo.image_01.jpg,0,85,2612,163.333
41,TurfBlog_demo.image_01.jpg,0,179,2620.667,159.667
42,TurfBlog_demo.image_01.jpg,0,180,2626,157.333
43,TurfBlog_demo.image_01.jpg,0,159,3053.333,302
44,TurfBlog_demo.image_01.jpg,0,158,3053.333,306
45,TurfBlog_demo.image_01.jpg,0,152,3050.667,323
46,TurfBlog_demo.image_01.jpg,0,164,3048.667,330.333
47,TurfBlog_demo.image_01.jpg,0,161,3046.333,342.333
48,TurfBlog_demo.image_01.jpg,0,165,3045,351.333
49,TurfBlog_demo.image_01.jpg,0,155,3043.667,358
50,TurfBlog_demo.image_01.jpg,0,160,3042.333,364.333
51,TurfBlog_demo.image_01.jpg,0,143,3040.667,371
52,TurfBlog_demo.image_01.jpg,0,118,3038,378.667
53,TurfBlog_demo.image_01.jpg,0,154,3036.333,385
54,TurfBlog_demo.image_01.jpg,0,156,3245.333,277.333
55,TurfBlog_demo.image_01.jpg,0,77,3256.667,287.333
56,TurfBlog_demo.image_01.jpg,0,153,3279.667,318.333
57,TurfBlog_demo.image_01.jpg,0,153,3287,326.333
58,TurfBlog_demo.image_01.jpg,0,140,3294.667,334
59,TurfBlog_demo.image_01.jpg,0,146,3301,339.667
60,TurfBlog_demo.image_01.jpg,0,128,3305.333,344.667
61,TurfBlog_demo.image_01.jpg,0,109,3309,355.667
62,TurfBlog_demo.image_01.jpg,0,131,3305.333,362.667
63,TurfBlog_demo.image_01.jpg,0,54,3299.333,369.333
64,TurfBlog_demo.image_01.jpg,0,111,3297,373.333
65,TurfBlog_demo.image_01.jpg,0,94,3292,376.333
66,TurfBlog_demo.image_01.jpg,0,62,3289.333,376.667
67,TurfBlog_demo.image_01.jpg,0,98,3306,373.667
68,TurfBlog_demo.image_01.jpg,0,119,3310,369
69,TurfBlog_demo.image_01.jpg,0,120,3313.667,365
70,TurfBlog_demo.image_01.jpg,0,81,3323,362.667
71,TurfBlog_demo.image_01.jpg,0,169,3325,360.333
72,TurfBlog_demo.image_01.jpg,0,136,3324.333,356.667
73,TurfBlog_demo.image_01.jpg,0,105,3323.333,354.333
74,TurfBlog_demo.image_01.jpg,0,55,3128.333,682
75,TurfBlog_demo.image_01.jpg,0,120,3131.667,677.667
76,TurfBlog_demo.image_01.jpg,0,127,3139,674.333
77,TurfBlog_demo.image_01.jpg,0,135,3148.333,671
78,TurfBlog_demo.image_01.jpg,0,116,3158,664.333
79,TurfBlog_demo.image_01.jpg,0,145,3161.333,660
80,TurfBlog_demo.image_01.jpg,0,119,3163,656.667
81,TurfBlog_demo.image_01.jpg,0,116,3167,651.667
82,TurfBlog_demo.image_01.jpg,0,121,3170,648
83,TurfBlog_demo.image_01.jpg,0,123,3176.333,642.333
84,TurfBlog_demo.image_01.jpg,0,105,3183.667,638.333
85,TurfBlog_demo.image_01.jpg,0,73,3022.333,627
86,TurfBlog_demo.image_01.jpg,0,135,3024,634.667
87,TurfBlog_demo.image_01.jpg,0,147,3025.667,641
88,TurfBlog_demo.image_01.jpg,0,152,3025.333,647.333
89,TurfBlog_demo.image_01.jpg,0,180,3029.333,677.667
90,TurfBlog_demo.image_01.jpg,0,168,3029.333,679.667
91,TurfBlog_demo.image_01.jpg,0,156,3030.333,688
92,TurfBlog_demo.image_01.jpg,0,170,3131.333,729.667
93,TurfBlog_demo.image_01.jpg,0,151,3136,728.333
94,TurfBlog_demo.image_01.jpg,0,162,3143.333,724.333
95,TurfBlog_demo.image_01.jpg,0,168,3154.667,719.333
96,TurfBlog_demo.image_01.jpg,0,171,3159.333,714.667
97,TurfBlog_demo.image_01.jpg,0,163,3158.333,711.333
98,TurfBlog_demo.image_01.jpg,0,167,3153.333,713.333
99,TurfBlog_demo.image_01.jpg,0,165,3146.667,720.667
100,Red,0,145,2928,747
101,TurfBlog_demo.image_01.jpg,0,126,2139.667,91.667
102,TurfBlog_demo.image_01.jpg,0,120,2137.667,93.333
103,TurfBlog_demo.image_01.jpg,0,117,2137.333,100
104,TurfBlog_demo.image_01.jpg,0,111,2137.667,106.667
105,TurfBlog_demo.image_01.jpg,0,145,2136.333,113
106,TurfBlog_demo.image_01.jpg,0,84,2135.333,118.667
107,TurfBlog_demo.image_01.jpg,0,71,2131.667,128.333
108,TurfBlog_demo.image_01.jpg,0,63,2129.667,136
109,TurfBlog_demo.image_01.jpg,0,58,1937,184.667
110,TurfBlog_demo.image_01.jpg,0,95,1940.333,188.333
111,TurfBlog_demo.image_01.jpg,0,86,1946.667,197.333
112,TurfBlog_demo.image_01.jpg,0,120,1961.333,209.333
113,TurfBlog_demo.image_01.jpg,0,165,1970.333,211.333
114,TurfBlog_demo.image_01.jpg,0,135,2003,286
115,TurfBlog_demo.image_01.jpg,0,147,1998.667,292
116,TurfBlog_demo.image_01.jpg,0,104,1995.333,302
117,TurfBlog_demo.image_01.jpg,0,107,1993,317.667
118,TurfBlog_demo.image_01.jpg,0,150,1994,329
119,TurfBlog_demo.image_01.jpg,0,141,1995,335.667
120,TurfBlog_demo.image_01.jpg,0,120,1997.333,343
121,TurfBlog_demo.image_01.jpg,0,137,2004.333,339.333
122,TurfBlog_demo.image_01.jpg,0,165,2008,336.333
123,TurfBlog_demo.image_01.jpg,0,165,2013.667,335
