 ,Label,Area,Mean,X,Y
1,P18_1115.JPG,0,129,2312,1305
2,P18_1115.JPG,0,140,2321,1304
3,P18_1115.JPG,0,149,2334,1301
4,P18_1115.JPG,0,154,2345,1297
5,P18_1115.JPG,0,167,2360,1295
6,P18_1115.JPG,0,68,2374,1293
7,P18_1115.JPG,0,79,2384,1288
8,P18_1115.JPG,0,111,2394,1282
9,P18_1115.JPG,0,124,2408,1273
10,P18_1115.JPG,0,182,2476.750,1499.500
11,P18_1115.JPG,0,183,2474,1500.500
12,P18_1115.JPG,0,182,2468.250,1504
13,P18_1115.JPG,0,176,2464.500,1507
14,P18_1115.JPG,0,179,2460.500,1510.250
15,P18_1115.JPG,0,181,2456.750,1514
16,P18_1115.JPG,0,184,2453.500,1516
17,P18_1115.JPG,0,146,2481.250,1528.500
18,P18_1115.JPG,0,150,2477,1528.500
19,P18_1115.JPG,0,150,2470.250,1530
20,P18_1115.JPG,0,149,2463.500,1532.750
21,P18_1115.JPG,0,155,2453.250,1536
22,P18_1115.JPG,0,161,2442.500,1538.750
23,P18_1115.JPG,0,162,2435.500,1538.250
24,P18_1115.JPG,0,162,2426.500,1535
25,P18_1115.JPG,0,152,2418.750,1532.750
26,P18_1115.JPG,0,155,2411.500,1531.250
27,P18_1115.JPG,0,124,2407.250,1529.500
28,P18_1115.JPG,0,177,2414.750,1545.250
29,P18_1115.JPG,0,133,2373.500,1575.250
30,P18_1115.JPG,0,150,2451,1607.500
31,P18_1115.JPG,0,149,2454.500,1611
32,P18_1115.JPG,0,148,2459.750,1617
33,P18_1115.JPG,0,138,2463.750,1622.250
34,P18_1115.JPG,0,181,2655.750,1716.250
35,P18_1115.JPG,0,180,2657.750,1721
36,P18_1115.JPG,0,181,2660,1728.750
37,P18_1115.JPG,0,167,2661.500,1734.500
38,P18_1115.JPG,0,148,2667.500,1746.250
39,P18_1115.JPG,0,160,2669.500,1749.500
40,P18_1115.JPG,0,161,2671.500,1753.250
41,P18_1115.JPG,0,128,2679.500,1774.500
42,P18_1115.JPG,0,137,2681.250,1777.750
43,P18_1115.JPG,0,123,2682.750,1782.500
44,P18_1115.JPG,0,154,2685.500,1788.500
45,P18_1115.JPG,0,115,2702,1798.500
46,P18_1115.JPG,0,125,2702.750,1801.250
47,P18_1115.JPG,0,94,2705,1806.500
48,P18_1115.JPG,0,101,2706.750,1810.250
49,P18_1115.JPG,0,84,2708,1816.250
50,P18_1115.JPG,0,98,2708.250,1820
51,P18_1115.JPG,0,134,2707.500,1825
52,P18_1115.JPG,0,151,2706.750,1829
53,P18_1115.JPG,0,150,2706.250,1831.250
54,P18_1115.JPG,0,150,2706.250,1833.250
55,P18_1115.JPG,0,137,2627.250,1821.750
56,P18_1115.JPG,0,147,2631,1824.250
57,P18_1115.JPG,0,134,2638,1828
58,P18_1115.JPG,0,100,2643.500,1831.500
59,P18_1115.JPG,0,128,2648,1836
60,P18_1115.JPG,0,120,2652,1840.250
61,P18_1115.JPG,0,115,2654.250,1841.750
62,P18_1115.JPG,0,129,2939.750,1899.250
63,P18_1115.JPG,0,131,2941.250,1900.250
64,P18_1115.JPG,0,128,2949.250,1907.500
65,P18_1115.JPG,0,129,2954.500,1913.500
66,P18_1115.JPG,0,119,2956,1917.500
67,P18_1115.JPG,0,119,2959,1892.500
68,P18_1115.JPG,0,131,2963.250,1894.500
69,P18_1115.JPG,0,137,2968.250,1898.750
70,P18_1115.JPG,0,152,2974.750,1903.250
71,P18_1115.JPG,0,113,2963,1845.750
72,P18_1115.JPG,0,110,2967.500,1847.750
73,P18_1115.JPG,0,126,2980.500,1854
74,P18_1115.JPG,0,138,2989.250,1857.250
75,P18_1115.JPG,0,143,2998.250,1860.500
76,P18_1115.JPG,0,150,3005,1863.750
77,P18_1115.JPG,0,146,3010,1866.500
78,P18_1115.JPG,0,130,3150.500,1894.750
79,P18_1115.JPG,0,139,3158,1894.250
80,P18_1115.JPG,0,144,3168.250,1894.750
81,P18_1115.JPG,0,145,3182,1895.500
82,P18_1115.JPG,0,154,3194.500,1894.250
83,P18_1115.JPG,0,164,3209,1891.750
84,P18_1115.JPG,0,166,3220,1890.250
85,P18_1115.JPG,0,113,3230,1873.750
86,P18_1115.JPG,0,104,3360,2006.500
87,P18_1115.JPG,0,133,3362.500,2014.750
88,P18_1115.JPG,0,138,3365.500,2028
89,P18_1115.JPG,0,119,3323.250,1880.250
90,P18_1115.JPG,0,122,3329.500,1883
91,P18_1115.JPG,0,134,3336.500,1888
92,P18_1115.JPG,0,138,3357,1900.750
93,P18_1115.JPG,0,164,3377.500,1915.750
94,P18_1115.JPG,0,176,3386.250,1924.250
95,P18_1115.JPG,0,177,3397,1935.500
